[0:00:24] poopvoov: ดีครับลุง
[0:50:31] PaoYingShul3: อินเวจแรงปลายหรอนิ
[0:50:33] SPK_SUPAKRON: ตอนแรกนำโดนถอน
[0:50:35] RteeBig: 720 ชนหรอลุง
[0:50:38] MewExplosivE: 720 หรอ
[0:50:41] TuengBTL: NotLikeThis
[0:50:41] alext2z: ซื้อเก๋งมือ 2 สภาพดีขับได้เลย ซ่อมที
[0:50:43] badvibeeiei: 3
[0:50:45] lionwisdom: 34น
[0:50:45] hadesxxxl: 34
[0:50:46] phanuwat2006: 34
[0:50:47] daniel_lanla: อินเวจมาจัด
[0:50:47] CrazyK94: 34 ครับ
[0:50:48] tanxcarbon: รอฟังต้นคลิปครับ
[0:50:49] petchppz: รถเป็นไรครับ
[0:50:51] chain_cp0: 34
[0:50:54] cosmiccafe: 34 ครับ
[0:50:55] farmechic: R34 ชนแมวครับ
[0:51:07] RteeBig: แมวตายมั้ย
[0:51:08] new_nx: แมว้ปนไรไหม
[0:51:08] MewExplosivE: อ่อ 34  แพงจัด
[0:51:18] GolfJai: เรียกว่ายัวไม่ถึงตัวถังรถ
[0:51:18] farmechic: แมวตายครับ
[0:51:34] sil4ss: เเมวตายครับ ไปย้อนฟังเอาต้นคลิป
[0:51:38] petchppz: ทำบุญล้างซวยด้วยนะลุง ปีนี้น่าจะชง
[0:51:56] ty_saorkone1722: พี่เอสทำถูกแล้ว
[0:51:59] sarayut_24: ชงจริงปีนี้
[0:52:07] kitthiti: เจอเจ้าของแมวป่าวคับ
[0:52:08] JAK25261: นี้เเค่เเมวนะ ถ้าเป็นหมาเจ็บหนักกว่านี้อีก
[0:52:10] namotasa88: รถคันไหนของลุงชนครับพอดีมาไม่ทัน
[0:52:16] GolfJai: ถ้าถึงตรงนั้น ราคาตกฮวบ!  ปะทะด้านหน้า แต่เหล็กย่นทั้งคัน
[0:52:17] pdk_padol: โดนคัตซี หลายตังเลยแหละ
[0:52:21] MewExplosivE: แค่อีก4 เดือน จะปีใหม่ล่ะ
[0:52:21] KKORN: โชคดีไม่โดนอินเตอร์ด้วย
[0:52:24] ThoMasX_1999: 34 ชน
[0:52:33] cosmiccafe: แต่มันแตก
[0:52:35] veesa101: ถ้าหม้อน้ำแตกหนักน่ะผมว่า
[0:52:38] petchppz: แมววิ่งใส่หรอลุง
[0:52:40] jumbozaz: แมวจรรึแมวบ้านครับ
[0:52:48] NoBitahub: คือของเเต่งชุดนี้เเพง
[0:52:54] sil4ss: เเมวบ้านครับมีปลอกคอ
[0:53:01] zonicda: ถ้าเป็น 720 ซ่อมเท่าไหร่ครับลุง
[0:53:01] pdk_padol: ทำมือด้วย
[0:53:02] lilsamemousxi: Z-tuneแท้นะมันเลยแพง
[0:53:06] by_wen: 34จอดอู่บ่อยจริง
[0:53:07] sevensix67_: ต้องสั่งจากนอกด้วย
[0:53:07] ty_saorkone1722: ใช่มันแพงเพาะตรงนี้และมันเป็น คาร์บอน
[0:53:11] PaoYingShul3: เขาถึงซื้อไปจอด ละโชวไม่เอาไปใช้
[0:53:14] goodluck0001: สนใจ คูโบต้าไหมครับ อึดถึกทน ไถดินได้ด้วย
[0:53:17] pakawat040: หลอดจะหมดคุนลุง
[0:53:19] artwoii: ของเก่าพอซ่อมได้มะลุง ถ้าจะซ่อมจริงๆอะ
[0:53:20] safesatan: ไหนจะทำสีทำลายอีกล่ะ
[0:53:20] cosmiccafe: หลักล้าน
[0:53:24] derdsmoke: บ็อบ
[0:53:25] aunza0631: เปลี่ยนเป็นล้าน555
[0:53:30] NoBitahub: รถถังไหมครับ ถึก รถถังขยะ
[0:53:32] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:53:33] chanaxay: อาหารๆๆ
[0:53:44] MewExplosivE: น้องโรลรอยเลย
[0:53:45] lilsamemousxi: เกิน10ล้านอถ
[0:53:45] petchppz: สนใจเป็นวัยรุ่นพ่อน้องออนิวไหมครับลุง สร้างความเดือดร้อนดี555
[0:53:46] Diw_Trd: ถ้าผมชน34นะ ผมกัดลิ้นตายตรงนั้นแหละ555
[0:53:48] lotza888: เหมือนที่ 1.9 ชนโรสลอยอะ
[0:53:50] NattakitMusic: แล้วอะไหล่สั่งอย่างนานบางชิ้น34อะ
[0:53:51] zonicda: ถ้าเป็น 720 ซ่อมเท่าไหร่ครับลุง
[0:53:52] fedzeed: ลุง oc อายุเท่าไรแล้วครับตอนนี้
[0:53:54] ty_saorkone1722: ถ้าโดนแบบนั้นผมว่าอดขับยาว55
[0:53:56] dome_zazaza: วาสนาไผน้อ จะได้ดมตูด55555
[0:54:04] popzabig: นี่โรสลอยปะนิลุง55555
[0:54:04] RteeBig: นั่งรอฟังวอด้วยจาร
[0:54:05] luuciferv3: สวัสดีลุง
[0:54:05] narubetza: สกอเท่าไหรครับ
[0:54:08] nattawatjanklud: ของแพงตามราคารถ
[0:54:23] siwat2540: อันนี้แค่500kแล้วถ้าชนเหมือนโรสลอยอ่ะน่าจ่ะหลายล้าน
[0:54:25] ThoMasX_1999: ถ้าเป็น720ซ่อมเท่าไหร่ลุงน่าจะไม่รู้คับ เพราะยังไม่ได้ชน
[0:54:26] owen0_007: สกอร์เท่าไหร่แล้วครับ
[0:54:37] fedzeed: ลุงอายุถึง32ยังอะครับ
[0:54:37] zonicda: ถ้าเป็น 720 ซ่อมเท่าไหร่ครับลุง
[0:54:38] aunza0631: ทำบุญให้พี่นวยด้วยใงใหนๆก็ได้ไป
[0:54:46] RteeBig: ทำให้แมว จร พี่
[0:54:48] petchppz: ถ้า34ชนกับโรลรอยอ่ะ จะกี่ล้าน
[0:54:49] dome_zazaza: วัดรวยเยอะแล้ว
[0:54:54] JAK25261: ที่วัดไง
[0:54:58] ctrler19: 55555555555555
[0:54:59] pdk_padol: 5555
[0:55:00] MewExplosivE: ทำด้านนอกเอาครับ วัดมันเป็นธุรกิจไปแล้ว
[0:55:00] angpao_w: 555555555555
[0:55:03] chen_nicotin: 555555
[0:55:04] sil4ss: 5555555
[0:55:04] mai_meow_: 55555555
[0:55:04] NoBitahub: หมูทั้งตัวววววววว
[0:55:06] ty_saorkone1722: 555
[0:55:11] aomsinz__stp: 55555555
[0:55:12] GolfJai: @zonicda ค่าใช้จ่ายอาจจะน้อยกว่านะไม่แน่  ปะกันน่าจะตัวท๊อปเลย 555
[0:55:14] Diw_Trd: 555555หมูกรอบของชอบ
[0:55:14] heremos1: 55555555
[0:55:18] ty_saorkone1722: จะหมดคอกละ55
[0:55:18] alext2z: คะน้าหมูกรอบนี่ทีเด็ดจัด
[0:55:19] bigbung786: เขาเรียกวัวแคระครับพี่
[0:55:20] artwoii: เอ้าา ชลิปปะลุงอะเด็กๆ 5555
[0:55:28] sil4ss: ในบัตร ปปช พี่เขียน ศาสนาอะไรอะ
[0:55:28] topzana107: เจ้าแม่อะไรนะ
[0:55:29] hggggo: พระอัลเลาะห์จะลงโทษเอาน่ะ555
[0:55:30] GolfJai: บังเอส 5555
[0:55:38] faknaakub: ระวังร้อนนะลุง5555
[0:55:40] dome_zazaza: ครับ บังเอส
[0:55:42] Diw_Trd: แต่ลุงแหวกแนวไง
[0:55:43] terr112: มิตติ้งยังจัดอยู่ไหมลุงชวนน้องๆทำบุญด้วยนะจะดีนะครับ
[0:55:44] tawanneu: 55555555
[0:55:44] MewExplosivE: สลามบัง 555
[0:55:45] alext2z: ผมพราหมณ์ฮินดู
[0:55:46] JAK25261: ลุงกินหมด
[0:55:49] dexterx66: บังเอส
[0:55:49] bigbung786: บังเอสอาวเรื่อง
[0:55:55] chibs_telfordd: ผมก็อิสลาม แต่ผมชอบกินหมูกรอบมาก 555555
[0:55:56] pdk_padol: เจ้าแม่อ่ะรัยน่ะลุง ขออีกทีฟ
[0:55:56] petchppz: สลามครับลุง
[0:55:56] safesatan: แต่พี่กินทุกอย่าง555555
[0:55:58] phanuwat2006: แต่เอสกินหมด
[0:56:00] luuciferv3: กินปลาดีที่สุด
[0:56:03] aunza0631: ให้เรียกผมว่าบัง555
[0:56:13] n_nchn: ก็เลยโดนแย่งkfc
[0:56:16] jumbozaz: ใครไม่กินเนื้อก็พลาดของแซ่บเเล้ว5555
[0:56:21] dome_zazaza: บังเอส R34
[0:56:31] petchppz: ทำบุญผมได้ครับลุง5555
[0:56:34] luuciferv3: StinkyGlitch StinkyGlitch
[0:56:38] gamepj46: 555555555555555
[0:56:39] realcap4444: ทีไปงานแต่งจ่ายได้ระลุงมาหาลุงลุงจ่าย555
[0:56:40] aunza0631: กินไก่ที่พี่เคยเล่าเรื่องพี่สาวพี่ใช่มั้ยครับ555
[0:56:41] aomsinz__stp: 5555555
[0:56:50] MewExplosivE: ทำบุญกับคนยากไร้
[0:56:51] petchppz: น้องสาวๆ
[0:56:51] ty_saorkone1722: พี่จะใส่เลยไง55
[0:56:53] dexterx66: ลองเปลี่ยนมาเข้าตอนกลางคืนจะได้เย็นลุง
[0:56:54] bigbung786: @faisaniiz เอาดีๆ
[0:56:56] wairong: เห็นพระไม่ได้อีก สีส้มนึกว่าAsap ก็เลยตีซะ
[0:57:03] safesatan: มีเรื่องกับพระสะอีก เออดีว่ะ55555
[0:57:14] firstza2540: แต่ลุงกินหมด555555
[0:57:20] paphichaa: ลุงเป็นเก๊า ไม่กินไก่อีก
[0:57:21] fedzeed: ลุงอายุเท่าไรครับตอนนี้
[0:57:22] petchppz: เจ้าแม่กวนอิม เป็นผู้ชายนะพี่เอสรู้ยัง
[0:57:23] puenkuh: พ่อพี่เอสอยู่ไหนคับ
[0:57:28] artwoii: ลุงขลิปป่าวเอาจริงเด็กๆอะ
[0:57:32] fahas2542: นับถือเจ้าแม่กวนอิ่ม ไม่กินเนื้อครับ
[0:57:33] JAK25261: ใส่ปากไง
[0:57:36] chibs_telfordd: @bigbung786 บาปหนักมากผมเนี่ย กินหมูกรอบเกือบทุกวัน 😅
[0:57:38] MewExplosivE: ไฮโซเอส LUL
[0:57:41] tanapatteehiw: ลุงเหมือนผมเลย
[0:57:41] flkkiiz: ตัดมาที่ผมซัดหมดไม่สนว่าคืออะไร
[0:57:44] basmin58: ผมก็ไม่กินเนื้อนับถือเจ้าแม่กวนอิม
[0:57:44] lazybearlive: ลงลองเคี้ยวๆกลืน
[0:57:46] fedzeed: ลุงอายุเท่าไรหรอครับตอนนี้
[0:57:54] tuatorbanana: ลุงขลิบกระเจี้ยวปะครับ
[0:57:58] dloptowu: ไฮโซ เอส
[0:57:59] nonthachai_i: ขลิบไข่ไหมครับบังเอส
[0:58:00] bigbung786: @faisaniiz เจริญละอิสลามปามละแบบนี้5555
[0:58:10] chanaxay: แค่ยัดเข้าปากง่ายๆครับลุง
[0:58:11] jelly_bunbun: พอจะไปกินอย่างอื่นก้ไม่กล้ากินใช่มั้ย
[0:58:13] petchppz: กินต้มอึ่งโชว์หน่อยพี่
[0:58:16] aunza0631: น้ำปลากับขนมจีนอะอร่อยจริง
[0:58:20] thammanunzao: ซอยจุ ละลุงกินไหม
[0:58:20] MerlinMieux: อร่อยจริง ขนมจีนน้ำปลา
[0:58:25] jaanat__: อร่อยจริง
[0:58:26] ThoMasX_1999: เด็กๆ ข้าวเหนียวจิ้มไข่ต้มแม็กกี้ No.1
[0:58:31] chibs_telfordd: 55555555 รุ้ว่าบาป แต่ชอบกิน 😅
[0:58:31] tanapatteehiw: ยายชอบทำอะไรเดิมๆให้ทำเลยโตมากินผักกับกินเผ็ดไม่ได้
[0:58:39] lilsamemousxi: อย่าว่าเลยลุง ปู กุ้ง ผมยังกินไม่เป็นเลย555555555
[0:58:39] ty_saorkone1722: พี่เอสต้องลองส้มตำโคตรสุดต้องลอง
[0:58:40] nonthachai_i: เป็นคนจังหวัดไรครับ
[0:58:45] flkkiiz: 555555555
[0:58:48] Acketski: แม
[0:58:51] petchppz: #เอสต้มอึ่งครับเชียร์ๆ
[0:58:51] MewExplosivE: 55555
[0:59:04] maxky04op: ผมกินหมด
[0:59:05] jelly_bunbun: พอจะกินก็ไม่อยาก
[0:59:07] aunza0631: ต้มอึ่งลุงเคยกินมั้ย
[0:59:09] Diw_Trd: เออจริงลุงไอ่เคี้ยวๆกื้นนี้แหละ
[0:59:11] i_na_foolish: ยัดใส่ปากเสร็จแล้วโดนตีอีก5555
[0:59:15] Acketski: ขนมจีนต้องน้ำปลากับน้ำตาลทราย
[0:59:16] GIIUL3: อินเวทนำล่ะหรอ
[0:59:22] nonthachai_i: เป็นคนจังหวัดไรครับ
[0:59:23] lionwisdom: ใส้เดือนทอด
[0:59:25] artwoii: ฉีดแม๊กกี้หนอ่ยอร่อยเลย
[0:59:25] petchppz: ดักแด้
[0:59:26] jaanat__: แม่จะดุ ว่า กินเข้าไป อย่าคาย
[0:59:27] ThoMasX_1999: จิ้งหรีด
[0:59:27] sevensix67_: จิ้งหรีด
[0:59:29] MewExplosivE: แม็กกี้กับรสดีพริกไทย
[0:59:29] puenkuh: แมลงวันหรอ
[0:59:29] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:59:30] ArmyGamingLive: หนอนไม้ไผ่
[0:59:32] flkkiiz: รั่วแชทเอสต้มอึ่ง 555
[0:59:33] rastaearth: คนเคยไหมไม่รู้แต่ผมคนคอน5555
[0:59:33] i_na_foolish: ดักแด่
[0:59:34] Diw_Trd: ไหมดักแด้หรอ
[0:59:35] meru_em2000: แมลงสาป
[0:59:37] 10rocket10: ผมโดนตับเขียดยัดใส่ปาก ทุกวันนี้พูดไม่หยุด StinkyGlitch
[0:59:38] cooper_fcjak: รถเมล์
[0:59:39] safesatan: แมลงสาบ
[0:59:40] phanuwat2006: แมงสาบ555555.
[0:59:41] soart_tnp: รดด่วน+แม็กกี้=โคตรอร่อย
[0:59:44] phat_az13: กิ้งกืออ่ะป่าว
[0:59:45] petchppz: เอสต้มอึ่ง ep1
[0:59:49] GIIUL3: ผมกินดักแด้ทอด
[0:59:49] MewExplosivE: หนอนผมก็ไม่กิน
[0:59:51] KaNza007: แมลงสาบทอด
[0:59:55] nonthachai_i: เป็นคนจังหวัดไรครับ
[0:59:56] ArmyGamingLive: หนอน รสชาติเหมือน มนผงชงเลยนะนัวๆ
[0:59:58] PongsakronStamp555: ลุงเคยกินยุงทอดปะครับ
[0:59:59] JANG064415: ไม่คันคอหรอครับ
[0:59:59] aunza0631: รถบัสเคยกินมั้ยครับพี่เอส
[1:00:04] chanaxay: #เอสต้มอึ่ง
[1:00:11] lionwisdom: กะเพรา
[1:00:13] i_na_foolish: พะแนง
[1:00:14] goodluck0001: ตอนเป็นทหารผมกินหมดเห็นอะไรก็ชอบ พอปลดออกมาก็ไม่กินเหมือนกัน
[1:00:16] TIM_Enjoy_Today: KFC
[1:00:20] Aun4un: เว่อ ivจะชนะแล้วอ่อ
[1:00:21] foknme: มีใครว่าลุงมั้ยครับว่า พูดมาก
[1:00:23] tanatutttt: ลุงเคยโดนล้วงคอรึป่าว
[1:00:23] phanuwat2006: ต้มมาม่น
[1:00:27] FBASz: แกงส้ม
[1:00:27] made_ln_japan: ติดตามพี่มาตั้งนานแล้วนะครับ ตั้งแต่วอซีปรับภาพ800เพื่อเทคจะได้นานๆที่บ้านสปิง มีความสุขที่ได้ดูพี่นะครับ🤟
[1:00:30] rastaearth: ไอเลิข่าไก่
[1:00:31] exilesz55: กินไม่เป็นก็คือไม่เป็นอะเลยไม่เปิดใจกิน มันยากนะที่จะลองกินอะไรที่เราไม่ชอบมันคือความรู้สึก
[1:00:32] flkkiiz: 95 หรือ 91 ครับ
[1:00:35] tanapatteehiw: หมูเค็ม
[1:00:35] ArmyGamingLive: เนื้อทอด น้ำมันหอย
[1:00:37] sutthipong2: ต้มจืดผักกาดดอง อร่อยลุง
[1:00:44] petchppz: ของโปรดผม
[1:00:46] by_wen: โครตอร่อยอะลุง
[1:00:47] MerlinMieux: อร่อยเลย
[1:00:47] soart_tnp: เหนือผัดน้ำมันหอยป้าว
[1:00:48] abu_1112: ไม่
[1:00:49] Diw_Trd: มะน้าน้ำมันหอย
[1:00:49] lotza888: ซอยจุ๊
[1:00:50] aunza0631: น้ำหมู+น้ำปลา อร่อยครับถ้าได้พริกป่น
[1:00:50] pondnoiz2543: ผมก็กินลุง
[1:00:51] artwoii: เหมือนเนื้อใส่าขมิ้นหน่อยๆด้วยน้ำมันจะเหลืองๆราดข้าว
[1:00:52] nabealx: ชอบเลย5555
[1:00:54] puenzzz: ผมก็ชอบนะ ราดน้ำมันอร่อยดี
[1:00:54] Mossnakubbb: ไม่นะ
[1:00:54] ThoMasX_1999: เนื้อทอดกระเทียม
[1:00:54] ArmyGamingLive: เค็มนัวๆเลยเดะ
[1:00:54] lucifer_max666: 10,000Kcal
[1:00:55] TIM_Enjoy_Today: น้ำมันหมูอร่อย
[1:00:56] KKORN: แปลกมาก
[1:00:57] safesatan: เนื้อแบบนั้นของโปรดเลยครับแล้วติดมันเยอะๆอ่ะสุดยอด
[1:00:59] poommixsdn: ผมก็กินโครตอร่อย
[1:00:59] tim_manggo: ไม่ เนื้อแดดเดียว
[1:01:00] ty_saorkone1722: คนเวียดนามเลยเขาชอบกิน
[1:01:00] jumbozaz: ไม่นะผมก็กิน
[1:01:03] abu_1112: ไช่
[1:01:03] kongkhan_123: นึกว่าน้ำมันเครื่อง
[1:01:04] i_na_foolish: ยำปลากระป๋องก็อร่อยนะลุง
[1:01:04] natthaphong_06: น้ำมันหนูทอดคือที่สุดดด
[1:01:06] alext2z: หมูทอด ราดน้ำมันทอดหมู นี่ทีเด็ด
[1:01:08] veesa101: อร่อยน่ะพอทอดแล้วมีน้ำมันเนื้อออกมา
[1:01:10] petchppz: ใครไม่เคย ให้ไปลอง อร่อยสุด
[1:01:10] feeros___: ของแก้หิวสมัยบวชเรียนเลย น้ำมันผสมน้ำปลา
[1:01:12] chanaxay: แปลก
[1:01:14] ty_saorkone1722: มันจะเค็มๆอร่อย
[1:01:14] chain_cp0: ถ้าเป็น95จะอร่อยกว่า
[1:01:16] MewExplosivE: คนจีนไง ชอบกินน้ำมัน
[1:01:16] luuciferv3: StinkyGlitch StinkyGlitch
[1:01:18] madauderrelax: IV  ชนะ asap หรอคับ
[1:01:20] aunza0631: แต่ต้มอึ่งพี่กินมั้ยครับ
[1:01:21] chibs_telfordd: เนื้อวัว แกงแพะลุงเคยกินปะครับ
[1:01:21] arnons_vepas: เนื้อแดดเดียว
[1:01:23] jamwzii2542: หมูผัดเค็ม อย่างเด็ดบอกเลย
[1:01:34] petchppz: @dekshain_ ห้ะเดี๋ยวๆ
[1:01:39] Qxx4455: ไม่มีตังก็มีได้หมดแหละคับลุง
[1:01:52] masknok: MAC พาหิว 555+
[1:02:04] SAFEQQx: คนพอสู้ได้ แต่ไม่ใหวกับบอส 555
[1:02:13] tuatorbanana: ลุงกินปลาสลิดบางบ่อมั้ยครับ
[1:02:26] tanatutttt: ลุงเคยโดนยาล้วงคอมั้ย
[1:02:49] aomsinz__stp: rebirthztvHaha rebirthztvHaha
[1:02:52] topzana107: หลังตี 3 เจอ iv แน่
[1:03:01] i_na_foolish: ปลานิล
[1:03:03] aunza0631: แล้วอึ่งทอดอะลุง
[1:03:04] lionwisdom: ปลาป๋อง
[1:03:05] 3dherobro: ปลาสลิดไข่หลอม
[1:03:07] jiranuwatohm: ลุงกินน้ำท่อมมั้ย5555
[1:03:08] boy_dekwad: ปลาไหลล่ะ
[1:03:10] MewExplosivE: ลุงกินห่อหมกฮวกไหม 555
[1:03:14] nopphanan23: จิง หลังตี3 อุ้มกักทีเดียว iv 555
[1:03:14] dome_zazaza: @topzana107 จบตีสามพอดี
[1:03:15] topzana107: ปลาทองกินมั้ยคับ
[1:03:15] PxTHnS_: แซลม่อน ดิบกินมั้ยครับ
[1:03:15] aonzii44: ปลาซิว
[1:03:18] lucky134775: กินซอยจุ๊ให้ดูหน่อยลูงง
[1:03:19] khundat: ปลาทูกินกับน้ำปลาพริกนะ สุดๆอ่ะ
[1:03:20] silawan_: ลุงกินเผ็ดมั่ยงับ
[1:03:22] Nolaugh0100: ก็ไม่ไดักินยากนะ ลุงอะ
[1:03:23] alext2z: ปลาร้า
[1:03:24] petchppz: เลิกพูด ผมหิว
[1:03:24] maxky04op: ลุงกินครีปปลามั้ย
[1:03:27] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[1:03:27] nopphanan23: ปลายของเค้า
[1:03:28] babymamon1: @topzana107 เล่นจบตี3
[1:03:29] cooper_fcjak: ปลาวาฬก็อร่อยลุง
[1:03:29] jack_duke_mc: อาหารเหนือกินไหมครับ
[1:03:30] namotasa88: ปลาดุกอร่อยกว่า
[1:03:30] pookawkan: ต้มอึ่งลุงอร่อยมากกก
[1:03:31] faknaakub: ต้มอึ่งอะลุง
[1:03:31] aunza0631: อึ่งทอดลุงอร่อยกรอบๆ
[1:03:34] FBASz: กินแกงส้มไหมคับลุง
[1:03:34] basmin58: ข้าวแมวอร่อย ปลาทูขย่ำข้าว5555
[1:03:34] MewExplosivE: แซลม่อนผมก็ไม่กิน มันคาว
[1:03:35] ty_saorkone1722: ปลาหหลผัดเผ็ดของแทร่55
[1:03:36] i_na_foolish: แมวกินก้างปลาไม่ดีนะลุงทิ่มคอแมว
[1:03:37] puenkuh: เอาเข้าปากไงลุง
[1:03:38] 3dherobro: สั่งปลาแกะ ลุง
[1:03:40] phanuwat2006: มาน่ะครับรายการช่วนหิวกับแม็ค
[1:03:40] moogrob811: ปลาดุกก็อร่อยนะลุง
[1:03:42] soart_tnp: แล้วพี่เคยกินเนื้อปลาที่มีพิษเยอะๆป่ะ แม่งโคตรเด็ด
[1:03:43] chain_cp0: rebirthztvPlease
[1:03:51] peesama000: ให้ไปส่งไหมครับบ้านลุง
[1:03:54] i_na_foolish: ดองหรอ
[1:03:54] jenpop2007: ต้มงูสิงคือสุด
[1:03:55] kengkikkoy: rebirthztvMuay
[1:03:58] idontknow_idontcare: ปลาซาบะละลุง
[1:03:59] puenkuh: แชลมอนยำอร่อยลุง
[1:03:59] tuatorbanana: ต้องเริ่มจากหนังแซลม่อนทอดครับ
[1:04:02] nnworawuxxx: กุ้งสดลุงกินมั้ย
[1:04:03] jack_duke_mc: อาหารเหนือกินไหมครับ
[1:04:04] artwoii: มันไม่เหมาะแก่การกินไงลุง
[1:04:10] ZeyZalX: ลุงลองซาชิมิดิเค็มๆอร่อยนะลุง
[1:04:12] petchppz: มันไม่สด
[1:04:13] KaNza007: ผม2ชิ้นอวกแตก
[1:04:13] basmin58: แช่ฟิช
[1:04:14] ThoMasX_1999: เยอรมันเบียร์หาง่ายกว่าน้ำเปล่าขริงไหมคับลุง
[1:04:17] poowit123: พี่ต้อกพี่ผมลุงที่ซื้อเสื้ออะ
[1:04:25] n_nchn: ต้องลองสดๆดีๆ
[1:04:33] MewExplosivE: ผมกินละจะอ้วกอะแซลม่อน  แต่ทูน่ากินได้นะ
[1:04:36] poowit123: ขับเมคไปซื้ด้วะ
[1:04:42] topzana107: แกให้เด็กๆรันแล้วหรอ
[1:04:52] nopphanan23: พี่มีทใจไปอยู่ โรเพลย์
[1:04:54] aunza0631: ต้มอึ่งกับอึ่งทอดลุงแนะนำ
[1:04:59] TAYCAMEL: asapไม่ค่อยได้ตีเท่าไหร่อินเวทตีบ่อยวิชาเยอะกว่า
[1:05:02] One_GodGG: อินเวจ ตึงจัด
[1:05:13] Aun4un: 200ใบ 80m
[1:05:18] namnonnon: เค้าคุยแล้ว ตี200ใบ 80M
[1:05:25] PaoYingShul3: ขับรถก้เก่งอินเวจ
[1:05:27] GIIUL3: ตี200ใบเลยหรอ
[1:05:29] ntttyaaakjj: น่ามันจัด สายบน
[1:05:35] One_GodGG: จับตัวหลุด asap หมดเลย อินเวจในเมือง
[1:05:41] suwan442: เซ็นสัญญากันแล้ว 200ใบ80ล้าน เซ้นkoiบอก คนอยากกุสะกดคำว่ากลัวไม่เป้น LUL
[1:05:51] chibs_telfordd: เอาดี iv นำ asap แล้วอ่อแชท
[1:05:56] xzq56: 555555
[1:05:58] petchppz: ลุงคันนี้เมื่อไหร่จะได้ขับocครับ
[1:06:03] tanxcarbon: หาทำ5555
[1:06:09] TAYCAMEL: ยังไงก็แล้วแต่เรารอชิงอย่างเดียว 555
[1:06:10] safesatan: อยู่เฉยๆก็ไปยิง555555
[1:06:11] singhbeer: @raeon224 ดูย้อนช่องไหนได้มั้ง
[1:06:13] nopphanan23: Koi lgrหรอครับ
[1:06:33] babymamon1: Iv 10+ asap20+ สกอร์
[1:06:38] One_GodGG: ของแทร์
[1:06:55] petchppz: ห้ะมีคนเดียว
[1:07:09] PaoYingShul3: เขาเปิดได้ 4ลูก
[1:07:11] chain_cp0: ivจะจักรพรรดิอันดับ1รึป่าว
[1:07:14] anuraktumm: ราชาตี3 เอาแล้ววว
[1:07:17] tanxcarbon: จะจบเเล้วไงเลยเลยใช้เล่น
[1:07:19] wairong: Asapไม่หนีนิ ฟายไปไหนหมด
[1:07:24] kaky_imaeyed: 55555555555555
[1:07:26] TAYCAMEL: iv วิชาแน่นด้วยเดะตีบ่อย
[1:07:26] MewExplosivE: 55556
[1:07:38] GIIUL3: จะโดนซะแล้ว555
[1:07:43] wathanyu45: นาแก่โดนเช็ค555
[1:07:45] petchppz: จะล่อลุงสะละ
[1:07:53] topzana107: 555
[1:07:54] safesatan: สมแล้วแท็กลูกศิษแจ็ค
[1:07:55] ntttyaaakjj: น่าดูจัดกับ koi ต่างคนต่างพร้อม
[1:07:55] MewExplosivE: 5555
[1:07:58] meru_em2000: asapนำหรือป่าวครับ
[1:08:02] ty_saorkone1722: 555
[1:08:03] aontz555: ลุงๆ55555
[1:08:10] MewExplosivE: 5555555
[1:08:14] tanxcarbon: น๊องๆ
[1:08:18] petchppz: อย่างแซ่บ
[1:08:28] ty_saorkone1722: แจ๋วสะด้วย55’
[1:08:31] 420Alldie: ได้เสี่ยวว
[1:08:31] One_GodGG: เวลาไม่ทัน
[1:08:33] chibs_telfordd: ป่วนจริงลุงกู 555555
[1:09:01] topzana107: จริง น่านับใบ55
[1:09:07] One_GodGG: อินเมจ ไล่จับตัว หลุดได้เยอะเลย แต่เวลาไม่ทัน
[1:09:12] petchppz: เอาตำนาน
[1:09:14] jone_500_tv: บ้าจัดคุยแล้วหรอ 200ใบ80m
[1:09:15] tuatorbanana: ASAPได้ไฟต์แรก อินเวจได้ไฟต์2
[1:09:27] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[1:09:29] PaoYingShul3: ตี๋คุยกับเขาไม่รู้เรื่อง
[1:09:35] soda000mmr: ตำแหน่งอยู่ไม่นานแต่ตำนานอยูตลอดไป
[1:09:47] petchppz: หลับบ่
[1:09:52] fedzeed: ศักศรีไงพี่
[1:09:53] wathanyu45: บ้าจัดเลย 200 ใบ
[1:09:53] 3dherobro: ไม่ไปถามละตี๋
[1:09:56] naringsak_bas: สูสิจัด
[1:10:07] One_GodGG: 55555 แบบนี้น่าสนุกขึ้นเยอะ แก๊งเก่งๆขึ้นมาเยอะ
[1:10:43] One_GodGG: จิงลุง
[1:11:02] MewExplosivE: เค
[1:11:04] petchppz: อย่างแม่น
[1:11:09] aomsinz__stp: 55555555
[1:11:09] aontz555: 55555
[1:11:10] Onsupness: 5555555555555
[1:11:11] KaNza007: 555555
[1:11:12] mai_meow_: 55555555
[1:11:13] winthakan18: 555
[1:11:15] new_sparrow: 555555555
[1:11:15] galahad0738: 555
[1:11:15] owen0_007: ตี๋ๆลุงเองตี๋
